1627135320000,33762.44000000,33774.03000000,33757.78000000,33757.78000000,22.50651400,1627135379999,759854.48211282,654,5.14675300,173768.83086448,0
1627135380000,33757.78000000,33773.68000000,33757.78000000,33767.52000000,12.98226000,1627135439999,438372.09921963,491,6.60127100,222906.52930829,0
1627135440000,33767.53000000,33789.78000000,33757.78000000,33776.35000000,25.43151000,1627135499999,858795.29406684,607,11.11643400,375424.42490587,0
1627135500000,33776.35000000,33781.70000000,33753.97000000,33757.04000000,26.29227400,1627135559999,887752.41928115,646,8.40508000,283809.11570042,0
1627135560000,33753.99000000,33773.59000000,33752.76000000,33768.43000000,25.00718900,1627135619999,844275.73800846,642,14.37932900,485459.63369112,0
1627135620000,33768.44000000,33777.60000000,33756.33000000,33771.07000000,17.62980700,1627135679999,595320.75145220,554,11.03547000,372652.49541158,0
1627135680000,33771.06000000,33780.00000000,33763.34000000,33763.35000000,17.63063200,1627135739999,595409.18864921,566,8.47261900,286128.33495178,0
1627135740000,33763.36000000,33771.45000000,33741.73000000,33746.85000000,62.99707400,1627135799999,2126278.03621524,665,23.17408200,782124.21571558,0
1627135800000,33746.85000000,33749.99000000,33731.81000000,33743.92000000,36.43637700,1627135859999,1229392.26719132,860,12.70859100,428786.16382225,0
1627135860000,33743.91000000,33761.71000000,33736.82000000,33750.00000000,29.92831100,1627135919999,1010111.48233313,534,15.50358300,523240.71285796,0
1627135920000,33750.01000000,33754.67000000,33738.00000000,33738.62000000,22.88981900,1627135979999,772418.66972880,488,14.25129200,480904.71612956,0
1627135980000,33738.62000000,33738.63000000,33725.97000000,33733.60000000,13.61106100,1627136039999,459118.68394218,452,5.67909800,191563.96422190,0
1627136040000,33733.61000000,33745.44000000,33733.60000000,33743.82000000,10.00582700,1627136099999,337581.11213106,356,3.53687400,119333.44399005,0
1627136100000,33743.81000000,33743.81000000,33720.01000000,33735.47000000,32.28346500,1627136159999,1088978.87105371,640,18.12748700,611423.08672650,0
1627136160000,33735.47000000,33791.01000000,33735.47000000,33784.69000000,27.96927700,1627136219999,944529.38989047,581,19.20017300,648443.55072399,0
1627136220000,33784.70000000,33800.00000000,33776.32000000,33778.40000000,46.44164400,1627136279999,1569203.96465015,628,16.48992900,557191.19592184,0
1627136280000,33778.40000000,33785.85000000,33770.00000000,33785.85000000,17.07827500,1627136339999,576887.17715877,603,9.71525000,328173.69793168,0
1627136340000,33785.85000000,33799.96000000,33785.84000000,33787.99000000,23.26047600,1627136399999,786037.17307181,599,10.48866200,354420.03496673,0
1627136400000,33789.17000000,33789.17000000,33762.89000000,33770.00000000,14.65378200,1627136459999,494993.52592161,463,5.80723700,196161.18865165,0
1627136460000,33770.01000000,33789.00000000,33770.00000000,33786.91000000,14.72855600,1627136519999,497592.39413442,426,5.78548800,195448.41305580,0
1627136520000,33786.91000000,33786.91000000,33767.51000000,33773.79000000,18.63675500,1627136579999,629563.67327352,506,8.25475000,278833.40474763,0
1627136580000,33773.79000000,33784.46000000,33766.51000000,33768.08000000,13.24809700,1627136639999,447460.19461846,510,5.52894200,186754.14128846,0
1627136640000,33768.08000000,33778.90000000,33768.08000000,33775.99000000,16.18161900,1627136699999,546514.36468397,513,9.30112200,314129.93809646,0
1627136700000,33776.00000000,33776.57000000,33752.22000000,33755.29000000,16.90797100,1627136759999,570900.07069743,509,5.85049800,197541.17230597,0
1627136760000,33755.30000000,33760.00000000,33750.00000000,33751.74000000,22.25240200,1627136819999,751101.44450308,511,4.95754500,167342.25526998,0
1627136820000,33751.74000000,33764.56000000,33750.00000000,33764.55000000,22.68335000,1627136879999,765688.16517611,483,15.91412800,537187.82743921,0
1627136880000,33763.78000000,33790.00000000,33755.86000000,33788.00000000,24.63541200,1627136939999,832041.09269299,529,12.38527000,418276.16590836,0
1627136940000,33787.99000000,33809.73000000,33787.99000000,33809.72000000,22.02891100,1627136999999,744519.01824929,507,17.65175100,596601.73584509,0
1627137000000,33809.72000000,33830.00000000,33798.20000000,33823.76000000,25.79674200,1627137059999,872364.60287952,665,18.85165400,637489.21308013,0
1627137060000,33823.85000000,33823.86000000,33795.38000000,33798.00000000,47.49265100,1627137119999,1605434.96318234,520,24.24778500,819607.43871744,0
1627137120000,33798.01000000,33800.00000000,33786.55000000,33789.91000000,15.62288000,1627137179999,527958.34971326,490,10.67476500,360746.44818914,0
1627137180000,33789.92000000,33799.99000000,33777.71000000,33792.55000000,21.13798400,1627137239999,714196.27366679,395,5.63716900,190473.95564100,0
1627137240000,33793.53000000,33800.00000000,33791.29000000,33800.00000000,22.84749100,1627137299999,772174.39058973,466,19.65600700,664318.50267049,0
1627137300000,33800.00000000,33819.00000000,33799.99000000,33814.99000000,47.40676800,1627137359999,1602512.33554300,788,41.38353400,1398872.82005320,0
1627137360000,33814.99000000,33828.29000000,33811.22000000,33811.23000000,12.29091800,1627137419999,415669.75667279,490,6.05428300,204745.54616700,0
1627137420000,33811.22000000,33820.00000000,33804.74000000,33820.00000000,8.35895000,1627137479999,282673.03151128,456,4.92341900,166501.38249892,0
1627137480000,33820.00000000,33835.00000000,33820.00000000,33825.56000000,19.25542600,1627137539999,651289.19416593,517,15.50791600,524523.72784026,0
1627137540000,33825.57000000,33839.36000000,33825.56000000,33834.70000000,11.51958900,1627137599999,389745.39845087,488,5.24185700,177347.94625129,0
1627137600000,33834.70000000,33850.00000000,33834.70000000,33849.01000000,12.49206200,1627137659999,422824.67103872,586,9.28707000,314340.39551669,0
1627137660000,33849.01000000,33853.79000000,33838.97000000,33845.04000000,31.44403600,1627137719999,1064344.93120623,777,20.83265100,705172.01659232,0
1627137720000,33845.04000000,33853.00000000,33842.31000000,33846.37000000,11.58502400,1627137779999,392120.42805414,477,5.27144700,178428.07873798,0
1627137780000,33846.37000000,33858.20000000,33843.51000000,33845.20000000,12.09216800,1627137839999,409334.23244440,662,5.32917700,180394.68548839,0
